UID          PID    PPID  C STIME TTY          TIME CMD
systemd+     661       1  0 03:57 ?        00:00:01 /usr/lib/systemd/systemd-resolved
systemd+     667       1  0 03:57 ?        00:00:01 /usr/lib/systemd/systemd-timesyncd
root         737       2  0 03:57 ?        00:00:00 [kworker/R-cfg80]
avahi        783       1  0 03:57 ?        00:00:04 avahi-daemon: running [ehduq.local]
message+     784       1  0 03:57 ?        00:00:04 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+     791       1  0 03:57 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd      795       1  0 03:57 ?        00:00:05 /usr/lib/polkit-1/polkitd --no-debug
root         797       1  0 03:57 ?        00:00:00 /usr/libexec/power-profiles-daemon
root         799       1  0 03:57 ?        00:00:00 /usr/sbin/qemu-ga
root         806       1  0 03:57 ?        00:00:12 /usr/lib/snapd/snapd
root         809       1  0 03:57 ?        00:00:02 /usr/libexec/accounts-daemon
root         811       1  0 03:57 ?        00:00:00 /usr/libexec/switcheroo-control
root         822       1  0 03:57 ?        00:00:00 /usr/lib/systemd/systemd-logind
root         823       1  0 03:57 ?        00:00:02 /usr/libexec/udisks2/udisksd
syslog       848       1  0 03:57 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
avahi        863     783  0 03:57 ?        00:00:00 avahi-daemon: chroot helper
root         871       1  0 03:57 ?        00:00:02 /usr/sbin/NetworkManager --no-daemon
root         877       1  0 03:57 ?        00:00:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root         909       1  0 03:57 ?        00:00:00 /usr/sbin/ModemManager
root        1003       1  0 03:57 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1116       1  0 03:59 ?        00:00:00 /usr/sbin/cron -f -P
kernoops    1121       1  0 03:59 ?        00:00:00 /usr/sbin/kerneloops --test
root        1123       1  0 03:59 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
kernoops    1127       1  0 03:59 ?        00:00:00 /usr/sbin/kerneloops
root        1134       1  0 03:59 ?        00:00:00 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 - vt220
root        1139       1  0 03:59 ?        00:00:00 /usr/sbin/gdm3
rtkit       1186       1  0 04:00 ?        00:00:02 /usr/libexec/rtkit-daemon
root        1301       1  0 04:00 ?        00:00:00 /usr/libexec/upowerd
root        1575       1  0 04:00 ?        00:00:00 /usr/sbin/spice-vdagentd
root        1917       2  0 05:30 ?        00:00:00 [kworker/R-tls-s]
colord      3025       1  0 05:57 ?        00:00:00 /usr/libexec/colord
root        3031       1  0 05:57 ?        00:00:06 /usr/libexec/fwupd/fwupd
fwupd-r+    3572       1  0 08:40 ?        00:00:07 /usr/bin/fwupdmgr refresh
root        7837       2  0 17:35 ?        00:00:00 [psimon]
root        9287    1139  0 21:27 ?        00:00:00 gdm-session-worker [pam/gdm-password]
ehduq       9299       1  0 21:27 ?        00:00:00 /usr/lib/systemd/systemd --user
ehduq       9305    9299  0 21:27 ?        00:00:00 (sd-pam)
ehduq       9317    9299  0 21:27 ?        00:00:00 /usr/bin/pipewire
ehduq       9318    9299  0 21:27 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
ehduq       9319    9299  0 21:27 ?        00:00:00 /usr/bin/wireplumber
ehduq       9323    9299  0 21:27 ?        00:00:00 /usr/bin/pipewire-pulse
ehduq       9325    9299  0 21:27 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
ehduq       9329    9299  0 21:27 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
ehduq       9357    9287  0 21:27 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
ehduq       9363    9357  0 21:27 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
ehduq       9418    9299  0 21:27 ?        00:00:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
ehduq       9419    9299  0 21:27 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
ehduq       9435    9299  0 21:27 ?        00:00:00 /usr/libexec/gvfsd
ehduq       9441    9299  0 21:27 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
ehduq       9444    9299  0 21:27 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
ehduq       9476    9444  0 21:27 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
ehduq       9487    9476  0 21:27 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
ehduq       9488    9299  0 21:27 ?        00:00:38 /usr/bin/gnome-shell
ehduq       9532    9299  0 21:27 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
ehduq       9547    9299  0 21:27 ?        00:00:00 /usr/libexec/xdg-permission-store
ehduq       9548    9299  0 21:27 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
ehduq       9562    9299  0 21:27 ?        00:00:00 /usr/libexec/evolution-source-registry
ehduq       9575    9299  0 21:27 ?        00:00:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
ehduq       9587    9299  0 21:27 ?        00:00:00 /usr/libexec/gsd-a11y-settings
ehduq       9591    9299  0 21:27 ?        00:00:00 /usr/libexec/gsd-color
ehduq       9592    9299  0 21:27 ?        00:00:00 /usr/libexec/gsd-datetime
ehduq       9594    9299  0 21:27 ?        00:00:00 /usr/libexec/gsd-housekeeping
ehduq       9600    9299  0 21:27 ?        00:00:00 /usr/libexec/gsd-keyboard
ehduq       9601    9299  0 21:27 ?        00:00:00 /usr/libexec/gsd-media-keys
ehduq       9602    9299  0 21:27 ?        00:00:00 /usr/libexec/gsd-power
ehduq       9604    9299  0 21:27 ?        00:00:00 /usr/libexec/gsd-print-notifications
ehduq       9607    9299  0 21:27 ?        00:00:00 /usr/libexec/gsd-rfkill
ehduq       9612    9299  0 21:27 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
ehduq       9613    9299  0 21:27 ?        00:00:00 /usr/libexec/gsd-sharing
ehduq       9624    9299  0 21:27 ?        00:00:00 /usr/libexec/gsd-smartcard
ehduq       9630    9299  0 21:27 ?        00:00:00 /usr/bin/spice-vdagent
ehduq       9633    9299  0 21:27 ?        00:00:00 /usr/libexec/gsd-sound
ehduq       9634    9299  0 21:27 ?        00:00:00 /usr/libexec/gsd-wacom
ehduq       9640    9299  0 21:27 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
ehduq       9664    9299  0 21:27 ?        00:00:00 /usr/libexec/gsd-printer
ehduq       9701    9299  0 21:27 ?        00:00:00 /usr/libexec/goa-daemon
ehduq       9748    9299  0 21:27 ?        00:00:00 /usr/libexec/evolution-calendar-factory
ehduq       9758    9299  0 21:27 ?        00:00:00 /usr/libexec/goa-identity-service
ehduq       9762    9299  0 21:27 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
ehduq       9770    9299  0 21:27 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
ehduq       9778    9299  0 21:27 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
ehduq       9783    9299  0 21:27 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
ehduq       9793    9488  0 21:27 ?        00:00:00 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.0F4OC3 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients
ehduq       9797    9299  0 21:27 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
ehduq       9857    9435  0 21:27 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.16 /org/gtk/gvfs/exec_spaw/0
ehduq       9879    9299  0 21:27 ?        00:00:00 /usr/libexec/dconf-service
ehduq       9893    9299  0 21:27 ?        00:00:00 /usr/libexec/tracker-miner-fs-3
ehduq       9899    9299  0 21:27 ?        00:00:00 /usr/libexec/gsd-xsettings
ehduq       9904    9299  0 21:27 ?        00:00:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
ehduq       9965    9299  0 21:27 ?        00:00:00 /usr/libexec/xdg-desktop-portal
ehduq       9983    9299  0 21:27 ?        00:00:00 /usr/libexec/xdg-document-portal
root        9994    9983  0 21:27 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
ehduq      10002    9299  0 21:27 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
ehduq      10012    9488  0 21:27 ?        00:00:00 /usr/libexec/mutter-x11-frames
ehduq      10021    9299  0 21:27 ?        00:00:00 /usr/libexec/gvfsd-metadata
ehduq      10071    9444  0 21:27 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
ehduq      10081    9444  0 21:27 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
ehduq      10119    9299  0 21:27 ?        00:00:00 /usr/bin/fcitx5 -d
ehduq      10123    9299  0 21:27 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
root       10383    1123  0 21:28 ?        00:00:00 sshd: ehduq [priv]
ehduq      10493   10383  0 21:28 ?        00:00:06 sshd: ehduq@pts/0
ehduq      10494   10493  0 21:28 pts/0    00:00:00 -bash
ehduq      10593    9444  0 21:28 ?        00:00:00 /usr/bin/update-notifier
ehduq      10678    9299  0 21:30 ?        00:00:02 /usr/bin/nautilus --gapplication-service
ehduq      10710    9435  0 21:30 ?        00:00:00 /usr/libexec/gvfsd-recent --spawner :1.16 /org/gtk/gvfs/exec_spaw/1
root       10811       1  0 21:33 ?        00:00:00 /usr/sbin/cupsd -l
cups-br+   18775       1  0 21:35 ?        00:00:00 /usr/sbin/cups-browsed
root       18979       2  0 21:49 ?        00:00:00 [kworker/2:2-events]
root       19089       2  0 22:39 ?        00:00:00 [kworker/1:2-events]
root       19115       2  0 22:49 ?        00:00:00 [kworker/1:1]
root       19148       2  0 22:58 ?        00:00:00 [kworker/2:0-cgroup_destroy]
root       19177       2  0 23:03 ?        00:00:00 [kworker/u8:3-events_power_efficient]
root       19249       2  0 23:10 ?        00:00:00 [kworker/u8:2-events_unbound]
root       19400       2  0 23:19 ?        00:00:00 [kworker/3:2-events]
root       19451       2  0 23:23 ?        00:00:00 [kworker/0:0-events]
root       19463       2  0 23:26 ?        00:00:00 [kworker/u8:1-events_power_efficient]
root       19485       2  0 23:29 ?        00:00:00 [kworker/3:3]
root       19494       2  0 23:30 ?        00:00:00 [kworker/0:1-events]
root       19503       2  0 23:31 ?        00:00:00 [kworker/2:1]
root       19506       2  0 23:32 ?        00:00:00 [kworker/u8:0-flush-253:0]
ehduq      19602   10494 99 23:36 pts/0    00:00:00 ps -ef
